指标名称,沪深300指数,中国:贷款市场报价利率(LPR):5年,中国:贷款市场报价利率(LPR):1年,中国:水泥价格指数,中国:平均批发价:猪肉
单位,点,%,%,点,元/公斤
2019/1/1,3010.6536,,4.31,162.27,19.31
2019/1/2,2969.5353,,4.31,161.68,18.92
2019/1/3,2964.8421,,4.31,161.56,19.3
2019/1/4,3035.8741,,4.31,161.36,19.26
2019/1/5,3035.8741,,4.31,161.36,19.26
2019/1/6,3035.8741,,4.31,161.36,19.26
2019/1/7,3054.303,,4.31,156.93,19.2
2019/1/8,3047.7035,,4.31,155.95,19.18
2019/1/9,3078.4759,,4.31,155.59,19.16
2019/1/10,3072.6864,,4.31,155.55,19.11
2019/1/11,3094.7782,,4.31,155.54,19.13
2019/1/12,3094.7782,,4.31,155.54,19.13
2019/1/13,3094.7782,,4.31,155.54,19.13
2019/1/14,3067.7845,,4.31,155.23,19.15
2019/1/15,3127.9904,,4.31,155.14,19.13
2019/1/16,3128.6517,,4.31,154.21,19.16
2019/1/17,3111.4168,,4.31,153.81,19.11
2019/1/18,3168.1739,,4.31,153.62,19.13
2019/1/19,3168.1739,,4.31,153.62,19.13
2019/1/20,3168.1739,,4.31,153.62,19.13
2019/1/21,3185.6364,,4.31,153.5,19.11
2019/1/22,3143.3171,,4.31,153.5,19.2
2019/1/23,3141.0532,,4.31,153.34,19.11
2019/1/24,3158.7817,,4.31,153.3,19.03
2019/1/25,3184.4696,,4.31,153.29,19.12
2019/1/26,3184.4696,,4.31,153.29,19.12
2019/1/27,3184.4696,,4.31,153.29,19.12
2019/1/28,3183.7777,,4.31,153.26,19.08
2019/1/29,3193.9698,,4.31,152.41,19.09
2019/1/30,3168.4829,,4.31,152.39,18.5
2019/1/31,3201.6331,,4.31,152.39,18.35
2019/2/1,3247.3971,,4.31,151.9,18.18
2019/2/2,3247.3971,,4.31,151.9,18.2
2019/2/3,3247.3971,,4.31,151.9,18.73
2019/2/4,3247.3971,,4.31,151.9,18.73
2019/2/5,3247.3971,,4.31,151.9,18.73
2019/2/6,3247.3971,,4.31,151.9,18.73
2019/2/7,3247.3971,,4.31,151.9,18.73
2019/2/8,3247.3971,,4.31,151.9,18.73
2019/2/9,3247.3971,,4.31,151.9,18.73
2019/2/10,3247.3971,,4.31,151.9,18.73
2019/2/11,3306.4725,,4.31,151.9,18.76
2019/2/12,3330.3353,,4.31,151.87,18.61
2019/2/13,3397.0276,,4.31,151.84,18.07
2019/2/14,3402.1403,,4.31,151.84,18.63
2019/2/15,3338.7047,,4.31,151.84,18.52
2019/2/16,3338.7047,,4.31,151.84,18.52
2019/2/17,3338.7047,,4.31,151.84,18.52
2019/2/18,3445.7448,,4.31,151.84,18.47
2019/2/19,3439.6078,,4.31,150.71,18.27
2019/2/20,3451.9273,,4.31,149.51,18.3
2019/2/21,3442.7056,,4.31,149.37,18.2
2019/2/22,3520.1182,,4.31,148.58,18.26
2019/2/23,3520.1182,,4.31,148.58,18.26
2019/2/24,3520.1182,,4.31,148.58,18.26
2019/2/25,3729.4831,,4.31,148.32,18.17
2019/2/26,3684.6935,,4.31,147.97,18.02
2019/2/27,3678.3921,,4.31,147.58,17.99
2019/2/28,3669.3703,,4.31,147.48,17.95
2019/3/1,3749.7143,,4.31,147.27,18.2
2019/3/2,3749.7143,,4.31,147.27,18.2
2019/3/3,3749.7143,,4.31,147.27,18.2
2019/3/4,3794.104,,4.31,147.03,17.9
2019/3/5,3816.0132,,4.31,146.94,17.85
2019/3/6,3848.0903,,4.31,146.94,18.01
2019/3/7,3808.8497,,4.31,146.59,17.99
2019/3/8,3657.579,,4.31,146.37,18.02
2019/3/9,3657.579,,4.31,146.37,18.02
2019/3/10,3657.579,,4.31,146.37,18.02
2019/3/11,3729.9546,,4.31,146.31,18.68
2019/3/12,3755.3519,,4.31,146.02,19.3
2019/3/13,3724.1941,,4.31,145.7,19.65
2019/3/14,3698.4858,,4.31,145.4,19.8
2019/3/15,3745.005,,4.31,145.09,19.77
2019/3/16,3745.005,,4.31,145.09,19.77
2019/3/17,3745.005,,4.31,145.09,19.77
2019/3/18,3851.7479,,4.31,145.1,20.27
2019/3/19,3833.9626,,4.31,145.02,20.33
2019/3/20,3835.4397,,4.31,144.99,20.48
2019/3/21,3836.8913,,4.31,145.01,20.41
2019/3/22,3833.8013,,4.31,145.22,20.43
2019/3/23,3833.8013,,4.31,145.22,20.43
2019/3/24,3833.8013,,4.31,145.22,20.43
2019/3/25,3742.8252,,4.31,145.45,20.19
2019/3/26,3700.4388,,4.31,145.48,20.17
2019/3/27,3743.3878,,4.31,146.15,20.08
2019/3/28,3728.3953,,4.31,146.59,20.13
2019/3/29,3872.3412,,4.31,146.71,20.25
2019/3/30,3872.3412,,4.31,146.71,20.25
2019/3/31,3872.3412,,4.31,146.71,20.25
2019/4/1,3973.928,,4.31,147.31,20.43
2019/4/2,3971.2852,,4.31,147.4,20.07
2019/4/3,4022.1566,,4.31,147.35,20.42
2019/4/4,4062.2309,,4.31,147.62,20.39
2019/4/5,4062.2309,,4.31,147.62,20.39
2019/4/6,4062.2309,,4.31,147.62,20.39
2019/4/7,4062.2309,,4.31,147.62,20.39
2019/4/8,4057.2286,,4.31,148.7,20.19
2019/4/9,4075.4301,,4.31,148.72,20.15
2019/4/10,4085.847,,4.31,148.92,20.06
2019/4/11,3997.5778,,4.31,148.92,20.2
2019/4/12,3988.6168,,4.31,149.02,20.21
2019/4/13,3988.6168,,4.31,149.02,20.21
2019/4/14,3988.6168,,4.31,149.02,20.21
2019/4/15,3975.5244,,4.31,149.29,20.24
2019/4/16,4085.7891,,4.31,149.32,20.2
