指标名称,中国:CPI:当月同比,中国:CPI:食品:当月同比,中国:CPI:非食品:当月同比,中国:CPI:服务:当月同比,中国:CPI:消费品:当月同比,中国:CPI:居住:当月同比,中国:CPI:衣着:当月同比,中国:CPI:医疗保健:当月同比,中国:CPI:交通和通信:当月同比,中国:CPI:教育文化和娱乐:当月同比,中国:PPI:当月同比,中国:城镇调查失业率,中国:房屋竣工面积:累计同比,中国:房屋新开工面积:累计同比,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),中国:工业增加值:规模以上工业企业:累计同比,中国:工业增加值:规模以上工业企业:制造业:当月同比,中国:工业增加值:规模以上工业企业:汽车制造业:当月同比,中国:工业增加值:规模以上工业企业:高技术产业:当月同比,中国:工业增加值:规模以上工业企业:通用设备制造业:当月同比,中国:零售业景气指数(CRPI),中国:商品房销售面积:累计同比,中国:商品房销售面积:累计值,中国:商品房销售额:累计同比,中国:商品房销售额:累计值,中国:商品零售额:限额以上单位:汽车类:当月同比(1-2月合并),中国:销量:汽车,中国:销量:新能源汽车,中国:社会消费品零售总额:当月同比(1-2月合并),中国:社会消费品零售总额:累计同比,中国:社会消费品零售总额:当月值,中国:社会消费品零售总额:累计值,中国:社会消费品零售总额:餐饮收入:当月同比(1-2月合并),中国:商品零售额:限额以上单位:汽车类:当月同比(1-2月合并),中国:社会消费品零售总额:商品零售:累计同比,中国:社会消费品零售总额:商品零售:当月同比(1-2月合并),中国:社会消费品零售总额:商品零售:当月值,中国:社会消费品零售总额:城镇:当月值,中国:社会消费品零售总额:乡村:当月值,中国:商品零售额:限额以上单位:金银珠宝类:当月同比(1-2月合并),中国:商品零售额:限额以上单位:通讯器材类:当月同比(1-2月合并),中国:商品零售额:限额以上单位:建筑及装潢材料类:当月同比(1-2月合并),中国:商品零售额:限额以上单位:家用电器和音像器材类:当月同比(1-2月合并),中国:商品零售额:限额以上单位:家具类:当月同比(1-2月合并),中国:商品零售额:限额以上单位:汽车类:当月值,中国:商品零售额:限额以上单位:金银珠宝类:当月值,中国:消费者信心指数,中国:消费者信心指数:收入,中国:消费者信心指数:满意,中国:消费者信心指数:就业,中国:消费者信心指数:消费意愿,中国:银行间债券质押式回购加权平均利率:14天:当月值,中国:中国建材家居景气指数(BHI),中国中小企业发展指数,中国:制造业PMI,中国:M1:同比,中国:M2:同比,中国:社会融资规模:当月值,中国:制造业PMI:产成品库存
频率,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月,月
单位,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,亿平方米,%,亿元,%,百万辆,百万辆,%,%,亿元,亿元,%,%,%,%,亿元,亿元,亿元,%,%,%,%,%,亿元,亿元,,,,,,%,,,%,%,%,亿元,%
2019/1/31,1.7,1.9,1.7,2.4,1.3,2.1,1.6,2.7,-1.3,2.9,0.1,5.1,-7.8,17.2,6.797753,6.797753,5.5,-4.1,10.4,6.5,,1.3,17.16543616,12.2,149972.7374,-8.5,2.367278,0.095696,8.160814,8.981749,35893.49834,380986.8522,9.023106,-8.5,8.921004,8.04076,31471.93529,30328.8673,5564.631036,2.3,-0.9,8.632473,13.9,12.673654,4267.54733,275.66264,123.69999999999999,121.3,118.4,127.6,114.6,3.0352,73.99,93,49.5,0.4,8.4,46791.13927,47.1
2019/2/28,1.5,0.7,1.7,2.1,1.1,2.2,2,2.8,-1.2,2.4,0.1,5.3,-11.9,6,3.360717,5.3,5.5,-4.1,10.4,6.5,,-3.6,1.4102145,2.8,12803.3432,-2.8,1.481602,0.052867,8.2,8.2,35893.49834,66064,9.7,-2.8,8,8,31471.93529,30328.8673,5564.631036,4.4,8.2,6.6,3.3,0.7,4267.54733,275.66264,126,124.7,120.99999999999999,128.8,117.2,2.7003,77.39,93,49.2,2,8,9665.126685,46.4
2019/3/31,2.3,4.1,1.8,2,2.4,2.1,2,2.7,0.1,2.4,0.4,5.2,-10.8,11.9,8.5,6.5,9,2.6,10,14.1,,-0.9,2.9828941,5.6,27038.7693,-4.4,2.520013,0.125631,8.7,8.3,31725.7,97789.7,9.5,-4.4,8.2,8.6,28332.8,27191.8,4533.9,-1.2,13.8,10.8,15.2,12.8,3179.2,218.2,124.1,122.4,119.39999999999999,127.9,114.1,3.1771,104.91,93.1,50.5,4.6,8.6,29602.33653,47
2019/4/30,2.5,6.1,1.7,2,2.9,2,1.8,2.6,-0.5,2.5,0.9,5,-10.3,13.1,5.4,6.2,5.3,-1.1,11.2,2,,-0.3,4.20854519,8.1,39140.8727,-2.1,1.980497,0.096771,7.2,8,30586.1,128375.8,8.5,-2.1,7.9,7,27305.3,26259,4327.1,0.4,2.1,-0.3,3.2,4.2,3053.9,185.5,125.3,123.4,120.30000000000001,129.2,115.5,3.0744,101.69,93.1,50.1,2.9,8.5,16709.53817,46.5
2019/5/31,2.7,7.7,1.6,1.9,3.2,1.8,1.7,2.5,-0.9,2.6,0.6,5,-12.4,10.5,5,6,5,-4.7,9.4,2.5,,-1.6,5.55180532,6.1,51772.8294,2.1,1.912565,0.104422,8.6,8.1,32955.7,161331.6,9.4,2.1,8,8.5,29324.4,28303.9,4651.8,4.7,6.7,-1.1,5.8,6.1,3222.8,220.1,123.39999999999999,121.7,119.10000000000001,127,114.3,2.8271,113.25,93.1,49.4,3.4,8.5,17123.72928,48.1
2019/6/30,2.7,8.3,1.4,1.8,3.2,1.6,1.8,2.5,-1.9,2.4,0,5.1,-12.7,10.1,6.3,6,6.2,-2.5,9.6,2.6,,-1.8,7.57855907,5.6,70698.0586,17.2,2.056446,0.152062,9.8,8.4,33878.1,195209.7,9.5,17.2,8.3,9.9,30154.8,28959,4919.2,7.8,5.9,1.1,7.7,8.3,3668.8,217.9,125.9,122.9,120.60000000000001,131,115,3.0141,101.54,92.8,49.4,4.4,8.5,26243.30201,48.1
2019/7/31,2.8,9.1,1.3,1.8,3.4,1.5,1.8,2.6,-2.1,2.3,-0.3,5.3,-11.3,9.5,4.8,5.8,4.5,-4.4,6.6,0.7,,-1.3,8.87829143,6.2,83162.3479,-2.6,1.808472,0.079784,7.6,8.3,33073.3,228282.9,9.4,-2.6,8.2,7.4,29415.2,28353.8,4719.5,-1.6,1,0.4,3,6.3,3056.2,174.9,124.4,122.1,119.5,128.2,115.6,2.8015,100.52,92.5,49.7,3.1,8.1,12872.11027,47
2019/8/31,2.8,10,1.1,1.6,3.6,1,1.6,2.3,-2.3,2.1,-0.8,5.2,-10,8.9,4.4,5.6,4.3,4.3,6.1,0,,-0.6,10.18485612,6.7,95372.9494,-8.1,1.957572,0.085255,7.5,8.2,33896.3,262179.3,9.7,-8.1,8.1,7.2,30039.2,29134.3,4762.1,-7,3.5,5.9,4.2,5.7,3051.7,212.4,122.4,121,117.9,126.2,112,2.8783,101.08,92.6,49.5,3.4,8.2,21955.76501,47.8
