指标名称,中国:居民部门杠杆率,中国:GDP:现价:当季值,中国:GDP:不变价:当季值,中国:GDP:现价:第三产业:当季值,中国:GDP:不变价:第三产业:当季值,中国:GDP:不变价:第三产业:当季同比,中国:城镇居民人均可支配收入:累计值,中国:居民人均可支配收入:累计值,中国:居民人均可支配收入中位数:累计值,中国:城镇居民人均可支配收入:累计同比,中国:城镇居民人均可支配收入:中位数:累计同比,中国:GDP:不变价:当季同比,中国:金融机构人民币贷款加权平均利率:一般贷款,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:工业产能利用率:当季值,中国:政府部门杠杆率
单位,%,亿元,亿元,亿元,亿元,%,百万元,百万元,百万元,%,%,%,%,%,%,%
2019/3/31,52.2,221453.9,201017.6,132265.4,118349.5,7.6,0.011633,0.008493208,0.007158,7.9,8.2,6.4,6.04,5.68,75.9,36.3
2019/6/30,53.3,246193.9,222389.6,136048.3,120925.6,7.6,0.021342,0.015294,0.013281,8,8.2,6.1,5.94,5.53,76.4,37.1
2019/9/30,54.3,256023.2,232153.3,139996.3,123914,7.8,0.031939,0.022882,0.019882,7.9,7.6,6,5.96,5.55,76.4,37.9
2019/12/31,55,282201.4,252346.2,147228.8,129235.6,7.3,0.042359,0.030733,0.026523,7.9,7.8,5.9,5.74,5.62,77.5,37.9
2020/3/31,56.9,209671.1,187417.1,127356.6,112498.2,-4.9,0.011691,0.008561,0.007109,0.5,0,-6.8,5.48,5.6,67.3,40
2020/6/30,58.8,253450,229396,140391.9,123655.5,2.3,0.021655,0.015666,0.013347,1.5,0.4,3.2,5.26,5.42,74.4,41.9
2020/9/30,60.5,269910.2,243567.3,148236.1,129601.7,4.6,0.032821,0.023781,0.020512,2.8,2.4,4.9,5.31,5.36,76.7,44.2
2020/12/31,61.1,301836.2,268766.9,158866.3,138380.8,7.1,0.043834,0.032189,0.02754,3.5,2.9,6.5,5.3,5.34,78,45
2021/3/31,60.9,255055.2,251564,151747.2,150171.1,16.4,0.01312,0.00973,0.008014,12.2,10.5,18.9,5.3,5.37,77.2,43.7
2021/6/30,60.8,287979.2,273519.5,158194.6,153583.8,9.1,0.024125,0.017642,0.014897,11.4,9.7,8.1,5.2,5.42,78.4,44
2021/9/30,60.8,297961.9,285059.2,161811.3,156918.9,6.3,0.035946,0.026265,0.022157,9.5,8,5.5,5.3,5.54,77.1,44.7
2021/12/31,60.6,332826.7,313417,171715.3,165993.1,5.5,0.047412,0.035128,0.029975,8.2,7.7,4.5,5.19,5.63,77.4,45.8
2022/3/31,60.5,277175.8,263762.9,163335.6,158103.1,5.3,0.013832,0.010345,0.008504,5.4,5.7,4.8,4.98,5.49,75.8,46.3
2022/6/30,60.7,299111.5,275704.6,162239.6,154842.3,0.8,0.025003,0.018463,0.01556,3.6,3.8,0.8,4.76,4.62,75.1,48.6
2022/9/30,60.9,315399.6,296333.6,171897.6,163859.6,4.4,0.037482,0.02765,0.023277,4.3,4.3,4,4.65,4.34,75.6,48.8
2022/12/31,60.7,342342.4,322969.4,180719.8,172049.3,3.6,0.049283,0.036883,0.03137,3.9,3.7,3,4.57,4.26,75.7,49.4
2023/3/31,62,292368.8,276286.8,176288.8,167491.1,5.9,0.014388,0.01087,0.008895,4,3.9,4.7,4.53,4.14,74.3,50.4
2023/6/30,62,316237.5,293711.1,177613.2,167104.6,7.9,0.026357,0.019672,0.016393,5.4,4.4,6.5,4.48,4.11,74.5,50.8
2023/9/30,62.2,328440.7,311288.6,182999.2,173117.1,5.6,0.039428,0.029398,0.024528,5.2,4.3,5,4.51,4.02,75.6,52.5
2023/12/31,61.9,357224.8,340242.9,192265.3,181884,5.7,0.051821,0.039218,0.033036,5.1,4.4,5.3,4.35,3.97,75.903011,54.7
2024/3/31,62.3,304525.2,290792,185132,176033.8,5.1,0.01515,0.011539,0.009462,5.3,5.7,5.3,4.27,3.69,73.6,55.3
2024/6/30,61.8,328585.4,307369,185018.5,174302.4,4.3,0.027561,0.020733,0.017358,4.6,4.7,4.7,4.13,3.45,74.9,56.3
2024/9/30,61.6,341443.2,325479.2,191668.5,181559.5,4.9,0.041183,0.030941,0.025978,4.5,4.4,4.6,4.15,3.31,75.1,58.7
2024/12/31,61.4,373512.4,358465.4,204306,192677.1,5.9,0.054188,0.041314,0.034707,4.6,4.6,5.4,3.82,3.09,76.2,60.8
2025/3/31,61.5,318466.4,306571,195187.3,185373.5,5.3,0.0158872,0.012179,0.009939286,4.9,4.506605,5.4,3.75,3.13,74.1,63.2
2025/6/30,61.1,341395.3,323458.2,195176.9,184151,5.7,0.028844,0.02184,0.018186,4.7,4,5.2,3.69,3.06,74,65.3
2025/9/30,60.4,354106.2,341216.5,202566.8,191290.3,5.4,0.042991,0.032509,0.027149,4.4,3.9,4.8,3.67,3.06,74.6,67.5
2025/12/31,59.4,387911.3,374444.5,215948.3,202782.9,5.2,0.056502,0.043377,0.036231,4.3,3.7,4.5,3.55,3.06,74.9,68.4
数据来源：Wind,,,,,,,,,,,,,,,,
